City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
469,Akyab,IN,80.92,moderate rain,20.15,92.9,Hotel Memory
470,Jining,IN,77.76,light rain,35.405,116.5814,Yunhe Star Hotel
471,Naze,IN,79.72,overcast clouds,28.3667,129.4833,奄美ポートタワーホテル
472,Aborlan,IN,81.14,overcast clouds,9.4352,118.5492,Kevina Transient House
475,Gat,IN,79.48,clear sky,31.61,34.7642,OlusHome
476,Cardston,IN,87.46,clear sky,49.2,-113.3019,Flamingo Motel
482,Fort Payne,IN,89.51,clear sky,34.4442,-85.7197,"Holiday Inn Express & Suites Fort Payne, an IHG Hotel"
483,Pak Phanang,IN,83.07,overcast clouds,8.3511,100.20200000000001,Green Park Inn Hotel
489,Sainte-Thecle,IN,78.85,overcast clouds,46.8168,-72.4991,Camping Lac et Forêt
493,Keti Bandar,IN,82.78,overcast clouds,24.1447,67.4497,Haji laloo memon house
494,Yamada,IN,78.71,few clouds,39.4667,141.95,Iroha-ya Inn
496,Concepcion Del Oro,IN,77.25,clear sky,24.6333,-101.4167,Hotel Hacienda San Javier
499,Mancio Lima,IN,87.87,few clouds,-7.6142,-72.8958,Hotel e Distribuidora Voyage
501,Shaunavon,IN,84.13,clear sky,49.6501,-108.4181,Bear's Den Lodge
503,Road Town,IN,82.2,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
510,Hamilton,IN,87.76,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
512,Bandarbeyla,IN,77.97,scattered clouds,9.4942,50.8122,JABIR HOTEL
517,Bourail,IN,77.13,clear sky,-21.5667,165.4833,Motel Allamanda
523,Palu,IN,76.03,broken clouds,-0.8917,119.8707,Hotel Santika Palu
525,Bajil,IN,82.11,overcast clouds,15.0584,43.2851,فندق حضرموت
526,Kudahuvadhoo,IN,81.7,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
528,Pafos,IN,80.51,clear sky,34.7667,32.4167,Elysium Hotel
