City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Weather Description
289,Kidal,18.4411,1.4078,88.27,46,10,1.57,IN,clear sky
290,Tori,58.4825,24.8152,49.44,72,7,4.05,IN,clear sky
291,Gillette,44.2911,-105.5022,92.25,17,1,4.0,IN,clear sky
292,Faanui,-16.4833,-151.75,78.44,68,45,10.85,IN,scattered clouds
293,Porangatu,-13.4408,-49.1486,74.14,33,21,4.14,IN,few clouds
294,General Roca,-39.0333,-67.5833,50.4,37,58,4.29,IN,broken clouds
295,Nanae,41.8833,140.6833,75.43,83,75,5.75,IN,broken clouds
296,Laibin,23.7,109.2667,78.22,88,72,2.93,IN,broken clouds
297,Deputatskiy,69.3,139.9,50.58,59,67,5.73,IN,broken clouds
298,Maniitsoq,65.4167,-52.9,40.41,80,76,0.92,IN,broken clouds
299,Carndonagh,55.25,-7.2667,58.55,86,17,1.45,IN,few clouds
300,Muros,42.7762,-9.0603,63.23,90,77,2.59,IN,broken clouds
301,Tessalit,20.1986,1.0114,88.39,47,48,22.97,IN,scattered clouds
302,Mayumba,-3.432,10.6554,70.41,89,31,2.53,IN,scattered clouds
303,Douentza,14.9951,-2.9517,89.82,46,94,4.09,IN,overcast clouds
304,Denpasar,-8.65,115.2167,74.86,88,20,4.61,IN,few clouds
305,Lakes Entrance,-37.8811,147.981,47.17,60,78,16.04,IN,broken clouds
306,Laramie,41.3114,-105.5911,80.96,22,1,3.0,IN,clear sky
307,Tamandare,-8.7597,-35.1047,73.09,84,7,10.25,IN,clear sky
308,Ahipara,-35.1667,173.1667,59.34,76,100,15.08,IN,overcast clouds
309,Soyo,-6.1349,12.3689,71.26,91,1,8.86,IN,clear sky
310,Srednekolymsk,67.45,153.6833,56.19,52,100,15.05,IN,overcast clouds
311,Isla Vista,34.4133,-119.861,90.68,61,75,6.91,IN,broken clouds
312,Emerald,-23.5333,148.1667,59.99,49,0,2.3,IN,clear sky
313,Goderich,43.7501,-81.7165,76.91,88,100,16.11,IN,overcast clouds
314,Shingu,33.7333,135.9833,79.92,77,83,7.02,IN,broken clouds
315,Wewak,-3.5534,143.6268,77.07,89,100,3.51,IN,overcast clouds
316,Soe,-9.8607,124.284,65.34,42,7,3.56,IN,clear sky
317,Mikhaylovskoye,51.8239,79.7172,67.71,65,16,3.4,IN,few clouds
318,Tiksi,71.6872,128.8694,42.55,79,40,4.83,IN,scattered clouds
319,Buraydah,26.326,43.975,95.45,15,4,6.87,IN,clear sky
320,Vanimo,-2.6741,141.3028,74.66,93,100,9.95,IN,heavy intensity rain
321,Bilma,18.6853,12.9164,91.71,38,99,14.18,IN,overcast clouds
322,Acarau,-2.8856,-40.12,78.35,77,20,13.8,IN,few clouds
323,Kailua,21.4022,-157.7394,89.58,73,75,16.11,IN,light rain
324,Djambala,-2.5447,14.7533,77.7,37,99,3.18,IN,overcast clouds
325,Brae,60.3964,-1.353,55.31,88,37,2.86,IN,scattered clouds
326,Ostrovnoy,68.0531,39.5131,44.22,88,94,21.7,IN,overcast clouds
327,Souillac,-20.5167,57.5167,70.18,83,40,11.5,IN,scattered clouds
328,Vardo,70.3705,31.1107,46.06,85,98,27.96,IN,overcast clouds
329,Ribeira Grande,38.5167,-28.7,71.65,91,56,8.59,IN,broken clouds
330,Tiarei,-17.5333,-149.3333,82.0,74,33,8.81,IN,light rain
331,Talakan,50.3167,130.3667,70.23,97,100,5.12,IN,light rain
332,Tucumcari,35.1717,-103.725,94.95,22,1,8.05,IN,clear sky
333,Wanning,18.8003,110.3967,79.66,85,26,9.8,IN,scattered clouds
334,Tura,25.5198,90.2201,74.73,96,97,5.14,IN,overcast clouds
335,Merauke,-8.4667,140.3333,76.62,86,95,7.67,IN,overcast clouds
336,Dalmeny,52.3334,-106.7679,84.67,21,20,27.63,IN,few clouds
337,Mount Isa,-20.7333,139.5,55.17,38,25,8.05,IN,scattered clouds
338,Kitimat,54.0524,-128.6534,66.9,71,74,1.99,IN,broken clouds
339,Hailey,43.5196,-114.3153,90.9,20,1,10.36,IN,clear sky
340,Yeniseysk,58.4497,92.1703,62.26,74,2,3.78,IN,clear sky
341,Savelugu,9.6244,-0.8253,78.06,73,100,6.67,IN,overcast clouds
342,Zyryanovsk,49.7386,84.2719,59.43,88,6,1.19,IN,clear sky
343,Kendari,-3.945,122.4989,72.79,88,95,2.21,IN,overcast clouds
344,Sao Francisco De Paula,-29.4481,-50.5836,62.38,64,1,5.26,IN,clear sky
345,Kongolo,-5.3833,27.0,74.86,36,18,3.62,IN,few clouds
346,Katsuura,35.1333,140.3,85.1,75,4,10.11,IN,clear sky
347,Biak,-0.9131,122.8766,74.8,79,92,5.41,IN,overcast clouds
